GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MySpring,com.designpattern.dp4singletonpattern.lazy.v4,Test,25,0,0,0,7,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v4,LazyInnerClassSingleton,12,0,2,0,5,0,3,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v4,ExecutorThread,19,0,0,0,4,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v4,LazyInnerClassSingleton.LazyHolder,6,0,0,0,1,0,1,0,1,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v4,ReflectionAttackSingleton,35,0,2,0,11,0,3,0,2,0
MySpring,com.designpattern.dp11decoratorpattern.ExtendsDemo,Test,58,0,0,0,8,0,2,0,2,0
MySpring,com.designpattern.dp11decoratorpattern.ExtendsDemo,Battercake,7,0,0,0,3,0,3,0,3,0
MySpring,com.designpattern.dp11decoratorpattern.ExtendsDemo,BattercakeWithEgg,18,0,0,0,3,0,3,0,3,0
MySpring,com.designpattern.dp11decoratorpattern.ExtendsDemo,BattercakeWithEggAndSausage,18,0,0,0,3,0,3,0,3,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v1,LazySimpleSingleton,11,0,2,0,4,0,3,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v1,Test,25,0,0,0,7,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v1,ExecutorThread,19,0,0,0,4,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v3,ExecutorThread,19,0,0,0,4,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v3,LazyDoubleCheckSingleton,20,0,4,0,7,0,4,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v3,Test,25,0,0,0,7,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v2,Test,25,0,0,0,7,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v2,ExecutorThread,19,0,0,0,4,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.lazy.v2,LazySimpleSingleton,11,0,2,0,4,0,3,0,2,0
MySpring,com.RXJava.processorversion,Main,46,0,0,0,11,0,4,0,4,0
MySpring,com.RXJava.processorversion,TownProcessor,58,0,0,0,14,0,6,0,6,0
MySpring,com.RXJava.processorversion,TempSubscriber,41,0,0,0,13,0,6,0,6,0
MySpring,com.RXJava.processorversion,TempSubscription,92,0,4,0,23,0,6,0,4,0
MySpring,com.RXJava.processorversion,TempProcessor,55,0,0,0,14,0,6,0,6,0
MySpring,com.RXJava.processorversion,TempInfo,56,0,2,0,11,0,7,0,6,0
MySpring,com.designpattern.dp4singletonpattern.register.EnumSingleton,Test,68,0,2,0,20,0,3,0,2,0
MySpring,com.designpattern.dp4singletonpattern.register.EnumSingleton,EnumSingleton,28,0,0,0,6,0,5,0,5,0
MySpring,com.designpattern.dp4singletonpattern.register.EnumSingleton,ColorsTest,42,0,2,0,5,0,3,0,2,0
MySpring,com.designpattern.dp4singletonpattern.register.EnumSingleton,Colors.new Colors() {...},9,0,0,0,2,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.register.EnumSingleton,Colors,74,0,4,0,11,0,7,0,5,0
MySpring,com.designpattern.dp4singletonpattern.ThreadLocalSingleton,ExecutorThread,19,0,0,0,4,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.ThreadLocalSingleton,ThreadLocalSingleton.new ThreadLocal() {...},8,0,0,0,2,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.ThreadLocalSingleton,Test,34,0,0,0,10,0,2,0,2,0
MySpring,com.designpattern.dp4singletonpattern.ThreadLocalSingleton,ThreadLocalSingleton,9,0,0,0,2,0,2,0,2,0
